Id Family Subfamily
Q86Y07 CK1 VRK
Q8IV63 CK1 VRK
Q8IZL9 CMGC CDK
P06493 CMGC CDK
P24941 CMGC CDK
Q00526 CMGC CDK
P11802 CMGC CDK
Q00534 CMGC CDK
Q00535 CMGC CDK
P50613 CMGC CDK
P49336 CMGC CDK
Q9BWU1 CMGC CDK
P50750 CMGC CDK
Q00536 CMGC CDK
Q00537 CMGC CDK
Q07002-3 CMGC CDK
O94921-2 CMGC CDK
Q96Q40-4 CMGC CDK
O76039 CMGC CDKL
Q00532 CMGC CDKL
Q92772 CMGC CDKL
Q5MAI5-2 CMGC CDKL
P68400 CMGC CK2
P19784 CMGC CK2
P49759 CMGC CLK
P49760-3 CMGC CLK
Q9HAZ1 CMGC CLK
Q13627-2 CMGC DYRK
Q9Y463 CMGC DYRK
O43781 CMGC DYRK
Q9NR20 CMGC DYRK
Q9H422 CMGC DYRK
Q8NE63 CMGC DYRK
Q86Z02 CMGC DYRK
P49840 CMGC GSK
P49841-2 CMGC GSK
P28482 CMGC MAPK
P27361 CMGC MAPK
P31152 CMGC MAPK
Q16659 CMGC MAPK
Q8TD08 CMGC MAPK
P45984 CMGC MAPK
P53779-2 CMGC MAPK
Q16539-2 CMGC MAPK
Q15759 CMGC MAPK
O15264 CMGC MAPK
P53778 CMGC MAPK
P20794 CMGC RCK
Q9UQ07 CMGC RCK
Q9UPZ9 CMGC RCK
Q96SB4-2 CMGC SRPK
P78362 CMGC SRPK
Q9UPE1 CMGC SRPK
O14965 Other Aur
Q9UQB9-3 Other Aur
Q96GD4 Other Aur
O43683 Other BUB
O60566 Other BUB
Q96S44 Other Bud32
Q96RR4 Other CAMKK
Q8N5S9 Other CAMKK
O00311 Other CDC7
Q8TF76 Other Haspin
O15111 Other IKK
O14920 Other IKK
Q14164 Other IKK
Q9UHD2 Other IKK
Q8TAS1 Other KIS
P00540 Other MOS
Q9NSY1 Other NAK
O75716 Other NAK
Q96PY6 Other NEK
P51956 Other NEK
Q6P3R8 Other NEK
P51955 Other NEK
Q9HC98 Other NEK
Q8TDX7 Other NEK
Q86SG6 Other NEK
Q52WX2 Other NKF1
Q9BXM7 Other NKF2
Q8N165 Other NKF4
Q8IWB6-3 Other NKF5
Q9UHY1 Other NRBP
Q05823 Other Other-Unique
Q9BXU1 Other Other-Unique
Q9H5K3 Other Other-Unique
Q9P2K8 Other PEK
Q9BQI3 Other PEK
P19525 Other PEK
P53350 Other PLK
Q9H4B4 Other PLK
Q9NYY3 Other PLK
O00444 Other PLK
Q6P3W7 Other SCY1
Q96KG9 Other SCY1
Q6XUX3 Other SgK496
Q7Z7A4 Other Slob
Q8TEA7 Other TBCK
Q9UKI8 Other TLK
Q86UE8-2 Other TLK
Q96KB5 Other TOPK
P33981 Other TTK
O75385 Other ULK
Q99570 Other VPS15
P30291 Other WEE
Q99640 Other WEE
Q96J92 Other WNK
Q9BYP7 Other WNK
Q02846 RGC RGC
P20594 RGC RGC
Q99683 STE STE11
O95382 STE STE11
Q56UN5 STE STE11
Q99759 STE STE11
Q9Y2U5 STE STE11
Q9Y6R4 STE STE11
O95747 STE STE20
Q9UEW8 STE STE20
Q12851 STE STE20
Q8IVH8 STE STE20
Q9Y4K4 STE STE20
Q92918 STE STE20
Q9UKE5 STE STE20
Q7Z2Y5 STE STE20
Q8N4C8-3 STE STE20
Q13188 STE STE20
Q13043 STE STE20
Q13153 STE STE20
Q13177 STE STE20
O75914-2 STE STE20
O96013 STE STE20
Q9NQU5 STE STE20
Q9P286 STE STE20
Q9H2G2 STE STE20
Q9C0K7 STE STE20
Q7RTN6 STE STE20
Q9UL54-2 STE STE20
Q7L7X3 STE STE20
Q9Y6E0-2 STE STE20
O00506 STE STE20
Q9P289 STE STE20
Q02750 STE STE7
P36507 STE STE7
P46734 STE STE7
P52564 STE STE7
P45985 STE STE7
Q13163-2 STE STE7
O14733 STE STE7
P41279 STE STE-Unique
Q99558 STE STE-Unique
P00519 TK Abl
P42684 TK Abl
Q07912-3 TK Ack
Q9UM73 TK ALK
P29376 TK ALK
P30530-2 TK Axl
Q06418 TK Axl
Q12866 TK Axl
Q13308 TK CCK4
P41240 TK Csk
P42679 TK Csk
Q08345-2 TK DDR
Q16832 TK DDR
P00533 TK EGFR
P04626 TK EGFR
P21860 TK EGFR
Q15303 TK EGFR
P29317 TK Eph
P29320 TK Eph
P54764 TK Eph
Q15375 TK Eph
P29322 TK Eph
P54762 TK Eph
P29323-2 TK Eph
P54753 TK Eph
P54760 TK Eph
Q14289 TK FAK
Q05397 TK FAK
P16591 TK Fer
P07332 TK Fer
P11362-7 TK FGFR
P22607 TK FGFR
P22455 TK FGFR
P08069 TK InsR
P06213 TK InsR
P14616 TK InsR
P23458 TK JakA
O60674 TK JakA
P52333 TK JakA
Q8IWU2 TK Lmr
P08581 TK Met
O15146 TK Musk
P07333 TK PDGFR
P36888 TK PDGFR
P10721 TK PDGFR
P16234 TK PDGFR
P09619 TK PDGFR
P07949 TK Ret
Q01974 TK Ror
P34925 TK Ryk
P08922 TK Sev
P42685 TK Src
P09769 TK Src
P06241 TK Src
P12931 TK Src
P07947 TK Src
P51451 TK Src
P08631 TK Src
P06239 TK Src
P07948 TK Src
Q13882 TK Src
Q9H3Y6 TK Src
P43405 TK Syk
P43403 TK Syk
P51813 TK Tec
Q06187 TK Tec
Q08881 TK Tec
Q02763 TK Tie
P35590 TK Tie
P04629-2 TK Trk
Q16620 TK Trk
Q16288-3 TK Trk
P35916 TK VEGFR
P35968 TK VEGFR
P51617 TKL IRAK
O43187 TKL IRAK
P53667 TKL LISK
P53671 TKL LISK
Q15569 TKL LISK
Q96S53 TKL LISK
Q38SD2 TKL LRRK
Q59H18-2 TKL MLK
Q13418 TKL MLK
O43283 TKL MLK
P80192-4 TKL MLK
Q02779 TKL MLK
Q16584 TKL MLK
O43318 TKL MLK
Q9NYL2 TKL MLK
Q8IVT5-4 TKL RAF
P10398 TKL RAF
P15056 TKL RAF
P04049 TKL RAF
Q13546 TKL RIPK
O43353 TKL RIPK
Q9Y572 TKL RIPK
Q8NFD2 TKL RIPK
Q04771 TKL STKR
P36896 TKL STKR
P37023 TKL STKR
P36894 TKL STKR
O00238 TKL STKR
P36897 TKL STKR
P27037 TKL STKR
Q13705 TKL STKR
Q16671 TKL STKR
P37173-2 TKL STKR
Q8NB16 TKL TKL-Unique
